town,county,office,district,party,candidate,winner,votes
Landaff,Grafton,Executive Council,1,D,Beth Funicella,False,44
Lebanon,Grafton,Executive Council,1,D,Beth Funicella,False,3610
Lincoln,Grafton,Executive Council,1,D,Beth Funicella,False,222
Lisbon,Grafton,Executive Council,1,D,Beth Funicella,False,149
Littleton,Grafton,Executive Council,1,D,Beth Funicella,False,645
Livermore,Grafton,Executive Council,1,D,Beth Funicella,False,0
Low & Burbank's Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Lyman,Grafton,Executive Council,1,D,Beth Funicella,False,65
Lyme,Grafton,Executive Council,1,D,Beth Funicella,False,743
Madison,Carroll,Executive Council,1,D,Beth Funicella,False,555
Martin's Location,Coos,Executive Council,1,D,Beth Funicella,False,0
Meredith,Belknap,Executive Council,1,D,Beth Funicella,False,1178
Middleton,Strafford,Executive Council,1,D,Beth Funicella,False,310
Milan,Coos,Executive Council,1,D,Beth Funicella,False,200
Millsfield,Coos,Executive Council,1,D,Beth Funicella,False,2
Milton,Strafford,Executive Council,1,D,Beth Funicella,False,853
Monroe,Grafton,Executive Council,1,D,Beth Funicella,False,84
Moultonborough,Carroll,Executive Council,1,D,Beth Funicella,False,780
New Durham,Strafford,Executive Council,1,D,Beth Funicella,False,544
New Hampton,Belknap,Executive Council,1,D,Beth Funicella,False,427
New London,Merrimack,Executive Council,1,D,Beth Funicella,False,1208
Newport,Sullivan,Executive Council,1,D,Beth Funicella,False,953
Northumberland,Coos,Executive Council,1,D,Beth Funicella,False,269
Odell,Coos,Executive Council,1,D,Beth Funicella,False,0
Orange,Grafton,Executive Council,1,D,Beth Funicella,False,64
Orford,Grafton,Executive Council,1,D,Beth Funicella,False,288
Ossipee,Carroll,Executive Council,1,D,Beth Funicella,False,604
Piermont,Grafton,Executive Council,1,D,Beth Funicella,False,138
Pinkham's Grant,Coos,Executive Council,1,D,Beth Funicella,False,2
Pittsburg,Coos,Executive Council,1,D,Beth Funicella,False,90
Plainfield,Sullivan,Executive Council,1,D,Beth Funicella,False,677
Plymouth,Grafton,Executive Council,1,D,Beth Funicella,False,1390
Randolph,Coos,Executive Council,1,D,Beth Funicella,False,76
Rumney,Grafton,Executive Council,1,D,Beth Funicella,False,224
Sanbornton,Belknap,Executive Council,1,D,Beth Funicella,False,583
Sandwich,Carroll,Executive Council,1,D,Beth Funicella,False,433
Sargent's Purchase,Coos,Executive Council,1,D,Beth Funicella,False,0
Second College Grant,Coos,Executive Council,1,D,Beth Funicella,False,0
Shelburne,Coos,Executive Council,1,D,Beth Funicella,False,61
Springfield,Sullivan,Executive Council,1,D,Beth Funicella,False,258
Stark,Coos,Executive Council,1,D,Beth Funicella,False,81
Stewartstown,Coos,Executive Council,1,D,Beth Funicella,False,77
Stratford,Coos,Executive Council,1,D,Beth Funicella,False,75
Success,Coos,Executive Council,1,D,Beth Funicella,False,0
Sugar Hill,Grafton,Executive Council,1,D,Beth Funicella,False,120
Sunapee,Sullivan,Executive Council,1,D,Beth Funicella,False,626
Tamworth,Carroll,Executive Council,1,D,Beth Funicella,False,594
Thompson & Meserve's Pur.,Coos,Executive Council,1,D,Beth Funicella,False,0
Thornton,Grafton,Executive Council,1,D,Beth Funicella,False,463
Tilton,Belknap,Executive Council,1,D,Beth Funicella,False,652
Tuftonboro,Carroll,Executive Council,1,D,Beth Funicella,False,431
Wakefield,Carroll,Executive Council,1,D,Beth Funicella,False,827
Warren,Grafton,Executive Council,1,D,Beth Funicella,False,92
Waterville Valley,Grafton,Executive Council,1,D,Beth Funicella,False,87
Wentworth,Grafton,Executive Council,1,D,Beth Funicella,False,135
Wentworth's Location,Coos,Executive Council,1,D,Beth Funicella,False,5
Whitefield,Coos,Executive Council,1,D,Beth Funicella,False,272
Wilmot,Merrimack,Executive Council,1,D,Beth Funicella,False,373
Wolfeboro,Carroll,Executive Council,1,D,Beth Funicella,False,1313
Woodstock,Grafton,Executive Council,1,D,Beth Funicella,False,199
Albany,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,23
Alexandria,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,50
Alton,Belknap,Executive Council,1,LIB,Howard L. Wilson,False,144
Andover,Merrimack,Executive Council,1,LIB,Howard L. Wilson,False,157
Ashland,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,68
At. & Gil. Academy Grant,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Bartlett,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,69
Bath,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,17
Bean's Grant,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Bean's Purchase,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Benton,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,5
Berlin,Coos,Executive Council,1,LIB,Howard L. Wilson,False,112
Bethlehem,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,48
Bridgewater,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,29
Bristol,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,87
Brookfield,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,32
Cambridge,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Campton,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,89
Canaan,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,87
Carroll,Coos,Executive Council,1,LIB,Howard L. Wilson,False,22
Center Harbor,Belknap,Executive Council,1,LIB,Howard L. Wilson,False,19
Chandler's Purchase,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Chatham,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,11
Claremont,Sullivan,Executive Council,1,LIB,Howard L. Wilson,False,322
Clarksville,Coos,Executive Council,1,LIB,Howard L. Wilson,False,9
Colebrook,Coos,Executive Council,1,LIB,Howard L. Wilson,False,35
Columbia,Coos,Executive Council,1,LIB,Howard L. Wilson,False,9
Conway,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,192
Cornish,Sullivan,Executive Council,1,LIB,Howard L. Wilson,False,52
Crawford's Purchase,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Croydon,Sullivan,Executive Council,1,LIB,Howard L. Wilson,False,18
Cutt's Grant,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Dalton,Coos,Executive Council,1,LIB,Howard L. Wilson,False,22
Danbury,Merrimack,Executive Council,1,LIB,Howard L. Wilson,False,64
Dix's Grant,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Dixville,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Dorchester,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,9
Dummer,Coos,Executive Council,1,LIB,Howard L. Wilson,False,5
Easton,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,6
Eaton,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,13
Effingham,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,74
Ellsworth,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,1
Enfield,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,114
Errol,Coos,Executive Council,1,LIB,Howard L. Wilson,False,6
Erving's Location,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Franconia,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,26
Freedom,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,35
Gilford,Belknap,Executive Council,1,LIB,Howard L. Wilson,False,203
Gorham,Coos,Executive Council,1,LIB,Howard L. Wilson,False,53
Grafton,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,69
Grantham,Sullivan,Executive Council,1,LIB,Howard L. Wilson,False,71
Green's Grant,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Groton,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,10
Hadley's Purchase,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Hale's Location,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,1
Hanover,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,262
Hart's Location,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,2
Haverhill,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,79
Hebron,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,12
Hill,Merrimack,Executive Council,1,LIB,Howard L. Wilson,False,35
Holderness,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,40
Jackson,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,22
Jefferson,Coos,Executive Council,1,LIB,Howard L. Wilson,False,14
Kilkenny,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Laconia,Belknap,Executive Council,1,LIB,Howard L. Wilson,False,361
Lancaster,Coos,Executive Council,1,LIB,Howard L. Wilson,False,58
Landaff,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,14
Lebanon,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,240
Lincoln,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,25
Lisbon,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,19
Littleton,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,117
Livermore,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,0
Low & Burbank's Grant,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Lyman,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,14
Lyme,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,24
Madison,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,63
Martin's Location,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Meredith,Belknap,Executive Council,1,LIB,Howard L. Wilson,False,155
Middleton,Strafford,Executive Council,1,LIB,Howard L. Wilson,False,56
Milan,Coos,Executive Council,1,LIB,Howard L. Wilson,False,14
Millsfield,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Milton,Strafford,Executive Council,1,LIB,Howard L. Wilson,False,148
Monroe,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,20
Moultonborough,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,121
New Durham,Strafford,Executive Council,1,LIB,Howard L. Wilson,False,87
New Hampton,Belknap,Executive Council,1,LIB,Howard L. Wilson,False,46
New London,Merrimack,Executive Council,1,LIB,Howard L. Wilson,False,105
Newport,Sullivan,Executive Council,1,LIB,Howard L. Wilson,False,168
Northumberland,Coos,Executive Council,1,LIB,Howard L. Wilson,False,29
Odell,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Orange,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,8
Orford,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,15
Ossipee,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,113
Piermont,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,12
Pinkham's Grant,Coos,Executive Council,1,LIB,Howard L. Wilson,False,1
Pittsburg,Coos,Executive Council,1,LIB,Howard L. Wilson,False,15
Plainfield,Sullivan,Executive Council,1,LIB,Howard L. Wilson,False,58
Plymouth,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,215
Randolph,Coos,Executive Council,1,LIB,Howard L. Wilson,False,5
Rumney,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,48
Sanbornton,Belknap,Executive Council,1,LIB,Howard L. Wilson,False,70
Sandwich,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,21
Sargent's Purchase,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Second College Grant,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Shelburne,Coos,Executive Council,1,LIB,Howard L. Wilson,False,5
Springfield,Sullivan,Executive Council,1,LIB,Howard L. Wilson,False,41
Stark,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Stewartstown,Coos,Executive Council,1,LIB,Howard L. Wilson,False,8
Stratford,Coos,Executive Council,1,LIB,Howard L. Wilson,False,11
Success,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Sugar Hill,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,8
Sunapee,Sullivan,Executive Council,1,LIB,Howard L. Wilson,False,85
Tamworth,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,59
Thompson & Meserve's Pur.,Coos,Executive Council,1,LIB,Howard L. Wilson,False,0
Thornton,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,57
Tilton,Belknap,Executive Council,1,LIB,Howard L. Wilson,False,140
Tuftonboro,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,70
Wakefield,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,135
Warren,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,8
Waterville Valley,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,8
Wentworth,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,24
Wentworth's Location,Coos,Executive Council,1,LIB,Howard L. Wilson,False,1
Whitefield,Coos,Executive Council,1,LIB,Howard L. Wilson,False,56
Wilmot,Merrimack,Executive Council,1,LIB,Howard L. Wilson,False,66
Wolfeboro,Carroll,Executive Council,1,LIB,Howard L. Wilson,False,166
Woodstock,Grafton,Executive Council,1,LIB,Howard L. Wilson,False,36
Albany,Carroll,Executive Council,1,R,Raymond S. Burton,True,205
Alexandria,Grafton,Executive Council,1,R,Raymond S. Burton,True,508
Alton,Belknap,Executive Council,1,R,Raymond S. Burton,True,2004
Andover,Merrimack,Executive Council,1,R,Raymond S. Burton,True,553
Ashland,Grafton,Executive Council,1,R,Raymond S. Burton,True,652
At. & Gil. Academy Grant,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Bartlett,Carroll,Executive Council,1,R,Raymond S. Burton,True,952
Bath,Grafton,Executive Council,1,R,Raymond S. Burton,True,465
Bean's Grant,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Bean's Purchase,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Benton,Grafton,Executive Council,1,R,Raymond S. Burton,True,127
Berlin,Coos,Executive Council,1,R,Raymond S. Burton,True,2434
Bethlehem,Grafton,Executive Council,1,R,Raymond S. Burton,True,1065
Bridgewater,Grafton,Executive Council,1,R,Raymond S. Burton,True,406
Bristol,Grafton,Executive Council,1,R,Raymond S. Burton,True,949
Brookfield,Carroll,Executive Council,1,R,Raymond S. Burton,True,225
Cambridge,Coos,Executive Council,1,R,Raymond S. Burton,True,3
Campton,Grafton,Executive Council,1,R,Raymond S. Burton,True,1012
Canaan,Grafton,Executive Council,1,R,Raymond S. Burton,True,797
Carroll,Coos,Executive Council,1,R,Raymond S. Burton,True,293
Center Harbor,Belknap,Executive Council,1,R,Raymond S. Burton,True,442
Chandler's Purchase,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Chatham,Carroll,Executive Council,1,R,Raymond S. Burton,True,125
Claremont,Sullivan,Executive Council,1,R,Raymond S. Burton,True,2354
Clarksville,Coos,Executive Council,1,R,Raymond S. Burton,True,113
Colebrook,Coos,Executive Council,1,R,Raymond S. Burton,True,670
Columbia,Coos,Executive Council,1,R,Raymond S. Burton,True,224
Conway,Carroll,Executive Council,1,R,Raymond S. Burton,True,2507
Cornish,Sullivan,Executive Council,1,R,Raymond S. Burton,True,456
Crawford's Purchase,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Croydon,Sullivan,Executive Council,1,R,Raymond S. Burton,True,238
Cutt's Grant,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Dalton,Coos,Executive Council,1,R,Raymond S. Burton,True,364
Danbury,Merrimack,Executive Council,1,R,Raymond S. Burton,True,304
Dix's Grant,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Dixville,Coos,Executive Council,1,R,Raymond S. Burton,True,8
Dorchester,Grafton,Executive Council,1,R,Raymond S. Burton,True,122
Dummer,Coos,Executive Council,1,R,Raymond S. Burton,True,115
Easton,Grafton,Executive Council,1,R,Raymond S. Burton,True,127
Eaton,Carroll,Executive Council,1,R,Raymond S. Burton,True,140
Effingham,Carroll,Executive Council,1,R,Raymond S. Burton,True,372
Ellsworth,Grafton,Executive Council,1,R,Raymond S. Burton,True,33
Enfield,Grafton,Executive Council,1,R,Raymond S. Burton,True,1007
Errol,Coos,Executive Council,1,R,Raymond S. Burton,True,116
Erving's Location,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Franconia,Grafton,Executive Council,1,R,Raymond S. Burton,True,459
Freedom,Carroll,Executive Council,1,R,Raymond S. Burton,True,509
Gilford,Belknap,Executive Council,1,R,Raymond S. Burton,True,2535
Gorham,Coos,Executive Council,1,R,Raymond S. Burton,True,954
Grafton,Grafton,Executive Council,1,R,Raymond S. Burton,True,349
Grantham,Sullivan,Executive Council,1,R,Raymond S. Burton,True,895
Green's Grant,Coos,Executive Council,1,R,Raymond S. Burton,True,1
Groton,Grafton,Executive Council,1,R,Raymond S. Burton,True,188
Hadley's Purchase,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Hale's Location,Carroll,Executive Council,1,R,Raymond S. Burton,True,95
Hanover,Grafton,Executive Council,1,R,Raymond S. Burton,True,1740
Hart's Location,Carroll,Executive Council,1,R,Raymond S. Burton,True,15
Haverhill,Grafton,Executive Council,1,R,Raymond S. Burton,True,1457
Hebron,Grafton,Executive Council,1,R,Raymond S. Burton,True,281
Hill,Merrimack,Executive Council,1,R,Raymond S. Burton,True,286
Holderness,Grafton,Executive Council,1,R,Raymond S. Burton,True,765
Jackson,Carroll,Executive Council,1,R,Raymond S. Burton,True,352
Jefferson,Coos,Executive Council,1,R,Raymond S. Burton,True,455
Kilkenny,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Laconia,Belknap,Executive Council,1,R,Raymond S. Burton,True,4185
Lancaster,Coos,Executive Council,1,R,Raymond S. Burton,True,1132
Landaff,Grafton,Executive Council,1,R,Raymond S. Burton,True,176
Lebanon,Grafton,Executive Council,1,R,Raymond S. Burton,True,2507
Lincoln,Grafton,Executive Council,1,R,Raymond S. Burton,True,488
Lisbon,Grafton,Executive Council,1,R,Raymond S. Burton,True,521
Littleton,Grafton,Executive Council,1,R,Raymond S. Burton,True,2020
Livermore,Grafton,Executive Council,1,R,Raymond S. Burton,True,0
Low & Burbank's Grant,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Lyman,Grafton,Executive Council,1,R,Raymond S. Burton,True,217
Lyme,Grafton,Executive Council,1,R,Raymond S. Burton,True,355
Madison,Carroll,Executive Council,1,R,Raymond S. Burton,True,699
Martin's Location,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Meredith,Belknap,Executive Council,1,R,Raymond S. Burton,True,2323
Middleton,Strafford,Executive Council,1,R,Raymond S. Burton,True,384
Milan,Coos,Executive Council,1,R,Raymond S. Burton,True,471
Millsfield,Coos,Executive Council,1,R,Raymond S. Burton,True,20
Milton,Strafford,Executive Council,1,R,Raymond S. Burton,True,967
Monroe,Grafton,Executive Council,1,R,Raymond S. Burton,True,372
Moultonborough,Carroll,Executive Council,1,R,Raymond S. Burton,True,1874
New Durham,Strafford,Executive Council,1,R,Raymond S. Burton,True,782
New Hampton,Belknap,Executive Council,1,R,Raymond S. Burton,True,722
New London,Merrimack,Executive Council,1,R,Raymond S. Burton,True,1382
Newport,Sullivan,Executive Council,1,R,Raymond S. Burton,True,1414
Northumberland,Coos,Executive Council,1,R,Raymond S. Burton,True,650
Odell,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Orange,Grafton,Executive Council,1,R,Raymond S. Burton,True,92
Orford,Grafton,Executive Council,1,R,Raymond S. Burton,True,368
Ossipee,Carroll,Executive Council,1,R,Raymond S. Burton,True,1154
Piermont,Grafton,Executive Council,1,R,Raymond S. Burton,True,258
Pinkham's Grant,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Pittsburg,Coos,Executive Council,1,R,Raymond S. Burton,True,365
Plainfield,Sullivan,Executive Council,1,R,Raymond S. Burton,True,549
Plymouth,Grafton,Executive Council,1,R,Raymond S. Burton,True,1504
Randolph,Coos,Executive Council,1,R,Raymond S. Burton,True,144
Rumney,Grafton,Executive Council,1,R,Raymond S. Burton,True,537
Sanbornton,Belknap,Executive Council,1,R,Raymond S. Burton,True,996
Sandwich,Carroll,Executive Council,1,R,Raymond S. Burton,True,478
Sargent's Purchase,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Second College Grant,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Shelburne,Coos,Executive Council,1,R,Raymond S. Burton,True,178
Springfield,Sullivan,Executive Council,1,R,Raymond S. Burton,True,392
Stark,Coos,Executive Council,1,R,Raymond S. Burton,True,185
Stewartstown,Coos,Executive Council,1,R,Raymond S. Burton,True,233
Stratford,Coos,Executive Council,1,R,Raymond S. Burton,True,174
Success,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Sugar Hill,Grafton,Executive Council,1,R,Raymond S. Burton,True,251
Sunapee,Sullivan,Executive Council,1,R,Raymond S. Burton,True,1139
Tamworth,Carroll,Executive Council,1,R,Raymond S. Burton,True,788
Thompson & Meserve's Pur.,Coos,Executive Council,1,R,Raymond S. Burton,True,0
Thornton,Grafton,Executive Council,1,R,Raymond S. Burton,True,800
Tilton,Belknap,Executive Council,1,R,Raymond S. Burton,True,897
Tuftonboro,Carroll,Executive Council,1,R,Raymond S. Burton,True,945
Wakefield,Carroll,Executive Council,1,R,Raymond S. Burton,True,1351
Warren,Grafton,Executive Council,1,R,Raymond S. Burton,True,338
Waterville Valley,Grafton,Executive Council,1,R,Raymond S. Burton,True,124
Wentworth,Grafton,Executive Council,1,R,Raymond S. Burton,True,325
Wentworth's Location,Coos,Executive Council,1,R,Raymond S. Burton,True,14
Whitefield,Coos,Executive Council,1,R,Raymond S. Burton,True,743
Wilmot,Merrimack,Executive Council,1,R,Raymond S. Burton,True,330
Wolfeboro,Carroll,Executive Council,1,R,Raymond S. Burton,True,2337
Woodstock,Grafton,Executive Council,1,R,Raymond S. Burton,True,501
Albany,Carroll,Executive Council,1,,Scatter,False,0
Alexandria,Grafton,Executive Council,1,,Scatter,False,1
Alton,Belknap,Executive Council,1,,Scatter,False,2
Andover,Merrimack,Executive Council,1,,Scatter,False,0
Ashland,Grafton,Executive Council,1,,Scatter,False,1
At. & Gil. Academy Grant,Coos,Executive Council,1,,Scatter,False,0
Bartlett,Carroll,Executive Council,1,,Scatter,False,0
Bath,Grafton,Executive Council,1,,Scatter,False,0
Bean's Grant,Coos,Executive Council,1,,Scatter,False,0
Bean's Purchase,Coos,Executive Council,1,,Scatter,False,0
Benton,Grafton,Executive Council,1,,Scatter,False,0
Berlin,Coos,Executive Council,1,,Scatter,False,6
Bethlehem,Grafton,Executive Council,1,,Scatter,False,0
Bridgewater,Grafton,Executive Council,1,,Scatter,False,0
Bristol,Grafton,Executive Council,1,,Scatter,False,1
Brookfield,Carroll,Executive Council,1,,Scatter,False,0
Cambridge,Coos,Executive Council,1,,Scatter,False,0
Campton,Grafton,Executive Council,1,,Scatter,False,7
Canaan,Grafton,Executive Council,1,,Scatter,False,0
Carroll,Coos,Executive Council,1,,Scatter,False,0
Center Harbor,Belknap,Executive Council,1,,Scatter,False,1
Chandler's Purchase,Coos,Executive Council,1,,Scatter,False,0
Chatham,Carroll,Executive Council,1,,Scatter,False,0
Claremont,Sullivan,Executive Council,1,,Scatter,False,7
Clarksville,Coos,Executive Council,1,,Scatter,False,0
Colebrook,Coos,Executive Council,1,,Scatter,False,1
Columbia,Coos,Executive Council,1,,Scatter,False,0
Conway,Carroll,Executive Council,1,,Scatter,False,0
