town,county,office,district,party,candidate,winner,votes
Hart's Location,Carroll,State Representative,7,,Scatter,False,0
Jackson,Carroll,State Representative,7,,Scatter,False,1
Madison,Carroll,State Representative,7,,Scatter,False,2
Tamworth,Carroll,State Representative,7,,Scatter,False,1
Albany,Carroll,State Representative,7,R,Tregenza,False,151
Bartlett,Carroll,State Representative,7,R,Tregenza,False,657
Chatham,Carroll,State Representative,7,R,Tregenza,False,91
Conway,Carroll,State Representative,7,R,Tregenza,False,1764
Eaton,Carroll,State Representative,7,R,Tregenza,False,121
Freedom,Carroll,State Representative,7,R,Tregenza,False,423
Hale's Location,Carroll,State Representative,7,R,Tregenza,False,90
Hart's Location,Carroll,State Representative,7,R,Tregenza,False,6
Jackson,Carroll,State Representative,7,R,Tregenza,False,203
Madison,Carroll,State Representative,7,R,Tregenza,False,544
Tamworth,Carroll,State Representative,7,R,Tregenza,False,612
Brookfield,Carroll,State Representative,8,,Scatter,False,0
Effingham,Carroll,State Representative,8,,Scatter,False,0
Moultonborough,Carroll,State Representative,8,,Scatter,False,0
Ossipee,Carroll,State Representative,8,,Scatter,False,2
Sandwich,Carroll,State Representative,8,,Scatter,False,0
Tuftonboro,Carroll,State Representative,8,,Scatter,False,0
Wakefield,Carroll,State Representative,8,,Scatter,False,0
Brookfield,Carroll,State Representative,8,D,Wiley,False,167
Effingham,Carroll,State Representative,8,D,Wiley,False,375
Moultonborough,Carroll,State Representative,8,D,Wiley,False,1119
Ossipee,Carroll,State Representative,8,D,Wiley,False,919
Sandwich,Carroll,State Representative,8,D,Wiley,False,626
Tuftonboro,Carroll,State Representative,8,D,Wiley,False,594
Wakefield,Carroll,State Representative,8,D,Wiley,False,1038
Brookfield,Carroll,State Representative,8,R,Wright,True,204
Effingham,Carroll,State Representative,8,R,Wright,True,246
Moultonborough,Carroll,State Representative,8,R,Wright,True,1601
Ossipee,Carroll,State Representative,8,R,Wright,True,900
Sandwich,Carroll,State Representative,8,R,Wright,True,329
Tuftonboro,Carroll,State Representative,8,R,Wright,True,898
Wakefield,Carroll,State Representative,8,R,Wright,True,1263
Chesterfield,Cheshire,State Representative,1,R,Aldrich,False,755
Hinsdale,Cheshire,State Representative,1,R,Aldrich,False,376
Walpole,Cheshire,State Representative,1,R,Aldrich,False,938
Westmoreland,Cheshire,State Representative,1,R,Aldrich,False,350
Chesterfield,Cheshire,State Representative,1,I,Kotfila,False,110
Hinsdale,Cheshire,State Representative,1,I,Kotfila,False,78
Walpole,Cheshire,State Representative,1,I,Kotfila,False,99
Westmoreland,Cheshire,State Representative,1,I,Kotfila,False,113
Chesterfield,Cheshire,State Representative,1,R,Levlocke,False,862
Hinsdale,Cheshire,State Representative,1,R,Levlocke,False,439
Walpole,Cheshire,State Representative,1,R,Levlocke,False,666
Westmoreland,Cheshire,State Representative,1,R,Levlocke,False,337
Chesterfield,Cheshire,State Representative,1,R,"Moore, Jr.",False,798
Hinsdale,Cheshire,State Representative,1,R,"Moore, Jr.",False,401
Walpole,Cheshire,State Representative,1,R,"Moore, Jr.",False,723
Westmoreland,Cheshire,State Representative,1,R,"Moore, Jr.",False,486
Chesterfield,Cheshire,State Representative,1,R,Smith,False,885
Hinsdale,Cheshire,State Representative,1,R,Smith,False,654
Walpole,Cheshire,State Representative,1,R,Smith,False,643
Westmoreland,Cheshire,State Representative,1,R,Smith,False,353
Chesterfield,Cheshire,State Representative,1,D,Berch,True,997
Hinsdale,Cheshire,State Representative,1,D,Berch,True,925
Walpole,Cheshire,State Representative,1,D,Berch,True,977
Westmoreland,Cheshire,State Representative,1,D,Berch,True,565
Chesterfield,Cheshire,State Representative,1,D,Butynski,True,1086
Hinsdale,Cheshire,State Representative,1,D,Butynski,True,1185
Walpole,Cheshire,State Representative,1,D,Butynski,True,976
Westmoreland,Cheshire,State Representative,1,D,Butynski,True,524
Chesterfield,Cheshire,State Representative,1,D,Sad,True,993
Hinsdale,Cheshire,State Representative,1,D,Sad,True,883
Walpole,Cheshire,State Representative,1,D,Sad,True,1246
Westmoreland,Cheshire,State Representative,1,D,Sad,True,523
Chesterfield,Cheshire,State Representative,1,,Scatter,False,2
Hinsdale,Cheshire,State Representative,1,,Scatter,False,2
Walpole,Cheshire,State Representative,1,,Scatter,False,0
Westmoreland,Cheshire,State Representative,1,,Scatter,False,0
Chesterfield,Cheshire,State Representative,1,D,Weber,True,1018
Hinsdale,Cheshire,State Representative,1,D,Weber,True,922
Walpole,Cheshire,State Representative,1,D,Weber,True,1188
Westmoreland,Cheshire,State Representative,1,D,Weber,True,530
Alstead,Cheshire,State Representative,2,R,Cartwright,False,433
Marlow,Cheshire,State Representative,2,R,Cartwright,False,167
Surry,Cheshire,State Representative,2,R,Cartwright,False,226
Alstead,Cheshire,State Representative,2,D,Mann,True,572
Marlow,Cheshire,State Representative,2,D,Mann,True,243
Surry,Cheshire,State Representative,2,D,Mann,True,236
Alstead,Cheshire,State Representative,2,,Scatter,False,0
Marlow,Cheshire,State Representative,2,,Scatter,False,1
Surry,Cheshire,State Representative,2,,Scatter,False,0
Gilsum,Cheshire,State Representative,3,D,Eaton,True,212
Nelson,Cheshire,State Representative,3,D,Eaton,True,265
Stoddard,Cheshire,State Representative,3,D,Eaton,True,357
Sullivan,Cheshire,State Representative,3,D,Eaton,True,179
Gilsum,Cheshire,State Representative,3,,Scatter,False,1
Nelson,Cheshire,State Representative,3,,Scatter,False,0
Stoddard,Cheshire,State Representative,3,,Scatter,False,0
Sullivan,Cheshire,State Representative,3,,Scatter,False,0
Gilsum,Cheshire,State Representative,3,R,Ward,False,199
Nelson,Cheshire,State Representative,3,R,Ward,False,156
Stoddard,Cheshire,State Representative,3,R,Ward,False,366
Sullivan,Cheshire,State Representative,3,R,Ward,False,175
Keene,Cheshire,State Representative,4,D,Roberts,True,1425
Keene,Cheshire,State Representative,4,,Scatter,False,3
Keene,Cheshire,State Representative,5,R,Chaffee,False,615
Keene,Cheshire,State Representative,5,D,Phillips,True,1616
Keene,Cheshire,State Representative,5,,Scatter,False,3
Keene,Cheshire,State Representative,6,R,Carlsen,False,684
Keene,Cheshire,State Representative,6,D,Robertson,True,1520
Keene,Cheshire,State Representative,6,,Scatter,False,5
Keene,Cheshire,State Representative,7,D,Johnsen,True,1790
Keene,Cheshire,State Representative,7,,Scatter,False,15
Keene,Cheshire,State Representative,8,R,Bendzinski,False,896
Keene,Cheshire,State Representative,8,D,Chase,True,1485
Keene,Cheshire,State Representative,8,,Scatter,False,1
Dublin,Cheshire,State Representative,9,D,Ames,True,608
Harrisville,Cheshire,State Representative,9,D,Ames,True,439
Jaffrey,Cheshire,State Representative,9,D,Ames,True,1364
Roxbury,Cheshire,State Representative,9,D,Ames,True,96
Dublin,Cheshire,State Representative,9,R,Desmarais,False,308
Harrisville,Cheshire,State Representative,9,R,Desmarais,False,163
Jaffrey,Cheshire,State Representative,9,R,Desmarais,False,1037
Roxbury,Cheshire,State Representative,9,R,Desmarais,False,34
Dublin,Cheshire,State Representative,9,D,Ley,True,563
Harrisville,Cheshire,State Representative,9,D,Ley,True,438
Jaffrey,Cheshire,State Representative,9,D,Ley,True,1274
Roxbury,Cheshire,State Representative,9,D,Ley,True,89
Dublin,Cheshire,State Representative,9,R,Moore,False,360
Harrisville,Cheshire,State Representative,9,R,Moore,False,189
Jaffrey,Cheshire,State Representative,9,R,Moore,False,1170
Roxbury,Cheshire,State Representative,9,R,Moore,False,39
Dublin,Cheshire,State Representative,9,,Scatter,False,0
Harrisville,Cheshire,State Representative,9,,Scatter,False,0
Jaffrey,Cheshire,State Representative,9,,Scatter,False,8
Roxbury,Cheshire,State Representative,9,,Scatter,False,0
Marlborough,Cheshire,State Representative,10,,Scatter,False,3
Troy,Cheshire,State Representative,10,,Scatter,False,0
Marlborough,Cheshire,State Representative,10,D,Shepardson,True,771
Troy,Cheshire,State Representative,10,D,Shepardson,True,491
Marlborough,Cheshire,State Representative,10,R,Walsh,False,313
Troy,Cheshire,State Representative,10,R,Walsh,False,447
Fitzwilliam,Cheshire,State Representative,11,R,Emerson,True,593
Rindge,Cheshire,State Representative,11,R,Emerson,True,1801
Fitzwilliam,Cheshire,State Representative,11,R,Hunt,True,628
Rindge,Cheshire,State Representative,11,R,Hunt,True,1989
Fitzwilliam,Cheshire,State Representative,11,,Scatter,False,2
Rindge,Cheshire,State Representative,11,,Scatter,False,0
Richmond,Cheshire,State Representative,12,R,Bersaw,False,280
Swanzey,Cheshire,State Representative,12,R,Bersaw,False,1072
Richmond,Cheshire,State Representative,12,D,Faulkner,False,263
Swanzey,Cheshire,State Representative,12,D,Faulkner,False,1623
Richmond,Cheshire,State Representative,12,R,Johnson,True,320
Swanzey,Cheshire,State Representative,12,R,Johnson,True,1595
Richmond,Cheshire,State Representative,12,D,Lerandeau,True,283
Swanzey,Cheshire,State Representative,12,D,Lerandeau,True,1862
Richmond,Cheshire,State Representative,12,,Scatter,False,1
Swanzey,Cheshire,State Representative,12,,Scatter,False,4
Winchester,Cheshire,State Representative,13,D,Parkhurst,True,1369
Winchester,Cheshire,State Representative,13,,Scatter,False,21
Dublin,Cheshire,State Representative,14,,Scatter,False,0
Fitzwilliam,Cheshire,State Representative,14,,Scatter,False,17
Harrisville,Cheshire,State Representative,14,,Scatter,False,0
Jaffrey,Cheshire,State Representative,14,,Scatter,False,2
Rindge,Cheshire,State Representative,14,,Scatter,False,25
Roxbury,Cheshire,State Representative,14,,Scatter,False,0
Dublin,Cheshire,State Representative,14,R,"Sterling, Jr.",False,389
Fitzwilliam,Cheshire,State Representative,14,R,"Sterling, Jr.",False,511
Harrisville,Cheshire,State Representative,14,R,"Sterling, Jr.",False,186
Jaffrey,Cheshire,State Representative,14,R,"Sterling, Jr.",False,1364
Rindge,Cheshire,State Representative,14,R,"Sterling, Jr.",False,1686
Roxbury,Cheshire,State Representative,14,R,"Sterling, Jr.",False,38
Dublin,Cheshire,State Representative,14,D,Young,True,581
Fitzwilliam,Cheshire,State Representative,14,D,Young,True,678
Harrisville,Cheshire,State Representative,14,D,Young,True,447
Jaffrey,Cheshire,State Representative,14,D,Young,True,1308
Rindge,Cheshire,State Representative,14,D,Young,True,1267
Roxbury,Cheshire,State Representative,14,D,Young,True,98
Marlborough,Cheshire,State Representative,15,R, Thackston,False,342
Richmond,Cheshire,State Representative,15,R, Thackston,False,308
Swanzey,Cheshire,State Representative,15,R, Thackston,False,1292
Troy,Cheshire,State Representative,15,R, Thackston,False,442
Winchester,Cheshire,State Representative,15,R, Thackston,False,610
Marlborough,Cheshire,State Representative,15,,Scatter,False,1
Richmond,Cheshire,State Representative,15,,Scatter,False,1
Swanzey,Cheshire,State Representative,15,,Scatter,False,4
Troy,Cheshire,State Representative,15,,Scatter,False,1
Winchester,Cheshire,State Representative,15,,Scatter,False,1
Marlborough,Cheshire,State Representative,15,D,Tatro,True,700
Richmond,Cheshire,State Representative,15,D,Tatro,True,320
Swanzey,Cheshire,State Representative,15,D,Tatro,True,2105
Troy,Cheshire,State Representative,15,D,Tatro,True,499
Winchester,Cheshire,State Representative,15,D,Tatro,True,1019
Keene,Cheshire,State Representative,16,D,Burridge,True,5592
Keene,Cheshire,State Representative,16,LIB,Freeman,False,1488
Keene,Cheshire,State Representative,16,,Scatter,False,36
Keene,Cheshire,State Representative,16,D,Weed,True,7625
At. & Gil. Academy Grant,Coos,State Representative,1,R,Daugherty,False,0
Cambridge,Coos,State Representative,1,R,Daugherty,False,2
Clarksville,Coos,State Representative,1,R,Daugherty,False,79
Colebrook,Coos,State Representative,1,R,Daugherty,False,371
Columbia,Coos,State Representative,1,R,Daugherty,False,133
Dix's Grant,Coos,State Representative,1,R,Daugherty,False,0
Dixville,Coos,State Representative,1,R,Daugherty,False,3
Errol,Coos,State Representative,1,R,Daugherty,False,49
Erving's Location,Coos,State Representative,1,R,Daugherty,False,0
Millsfield,Coos,State Representative,1,R,Daugherty,False,16
Odell,Coos,State Representative,1,R,Daugherty,False,0
Pittsburg,Coos,State Representative,1,R,Daugherty,False,243
Second College Grant,Coos,State Representative,1,R,Daugherty,False,0
Stewartstown,Coos,State Representative,1,R,Daugherty,False,141
Stratford,Coos,State Representative,1,R,Daugherty,False,95
Wentworth's Location,Coos,State Representative,1,R,Daugherty,False,6
At. & Gil. Academy Grant,Coos,State Representative,1,D,Enman,True,0
Cambridge,Coos,State Representative,1,D,Enman,True,0
Clarksville,Coos,State Representative,1,D,Enman,True,48
Colebrook,Coos,State Representative,1,D,Enman,True,450
Columbia,Coos,State Representative,1,D,Enman,True,122
Dix's Grant,Coos,State Representative,1,D,Enman,True,0
Dixville,Coos,State Representative,1,D,Enman,True,7
Errol,Coos,State Representative,1,D,Enman,True,108
Erving's Location,Coos,State Representative,1,D,Enman,True,0
Millsfield,Coos,State Representative,1,D,Enman,True,5
Odell,Coos,State Representative,1,D,Enman,True,0
Pittsburg,Coos,State Representative,1,D,Enman,True,145
Second College Grant,Coos,State Representative,1,D,Enman,True,0
Stewartstown,Coos,State Representative,1,D,Enman,True,138
Stratford,Coos,State Representative,1,D,Enman,True,123
Wentworth's Location,Coos,State Representative,1,D,Enman,True,12
At. & Gil. Academy Grant,Coos,State Representative,1,R,Rappaport,True,0
Cambridge,Coos,State Representative,1,R,Rappaport,True,2
Clarksville,Coos,State Representative,1,R,Rappaport,True,102
Colebrook,Coos,State Representative,1,R,Rappaport,True,535
Columbia,Coos,State Representative,1,R,Rappaport,True,191
Dix's Grant,Coos,State Representative,1,R,Rappaport,True,0
Dixville,Coos,State Representative,1,R,Rappaport,True,6
Errol,Coos,State Representative,1,R,Rappaport,True,68
Erving's Location,Coos,State Representative,1,R,Rappaport,True,0
Millsfield,Coos,State Representative,1,R,Rappaport,True,17
Odell,Coos,State Representative,1,R,Rappaport,True,0
Pittsburg,Coos,State Representative,1,R,Rappaport,True,310
Second College Grant,Coos,State Representative,1,R,Rappaport,True,0
Stewartstown,Coos,State Representative,1,R,Rappaport,True,191
Stratford,Coos,State Representative,1,R,Rappaport,True,110
Wentworth's Location,Coos,State Representative,1,R,Rappaport,True,8
At. & Gil. Academy Grant,Coos,State Representative,1,,Scatter,False,0
Cambridge,Coos,State Representative,1,,Scatter,False,0
Clarksville,Coos,State Representative,1,,Scatter,False,0
Colebrook,Coos,State Representative,1,,Scatter,False,11
Columbia,Coos,State Representative,1,,Scatter,False,2
Dix's Grant,Coos,State Representative,1,,Scatter,False,0
Dixville,Coos,State Representative,1,,Scatter,False,0
Errol,Coos,State Representative,1,,Scatter,False,0
Erving's Location,Coos,State Representative,1,,Scatter,False,0
Millsfield,Coos,State Representative,1,,Scatter,False,0
Odell,Coos,State Representative,1,,Scatter,False,0
Pittsburg,Coos,State Representative,1,,Scatter,False,1
Second College Grant,Coos,State Representative,1,,Scatter,False,0
Stewartstown,Coos,State Representative,1,,Scatter,False,3
Stratford,Coos,State Representative,1,,Scatter,False,2
Wentworth's Location,Coos,State Representative,1,,Scatter,False,0
Dummer,Coos,State Representative,2,D,Moynihan,True,116
Milan,Coos,State Representative,2,D,Moynihan,True,486
Northumberland,Coos,State Representative,2,D,Moynihan,True,481
Stark,Coos,State Representative,2,D,Moynihan,True,176
Dummer,Coos,State Representative,2,,Scatter,False,0
Milan,Coos,State Representative,2,,Scatter,False,3
Northumberland,Coos,State Representative,2,,Scatter,False,0
Stark,Coos,State Representative,2,,Scatter,False,0
Dummer,Coos,State Representative,2,R,"Tierney, Jr.",False,43
Milan,Coos,State Representative,2,R,"Tierney, Jr.",False,212
Northumberland,Coos,State Representative,2,R,"Tierney, Jr.",False,477
Stark,Coos,State Representative,2,R,"Tierney, Jr.",False,107
Berlin,Coos,State Representative,3,R,Catman,False,1029
Berlin,Coos,State Representative,3,D,Coulombe,True,2940
Berlin,Coos,State Representative,3,,Scatter,False,42
Berlin,Coos,State Representative,3,D,Theberge,True,2651
Berlin,Coos,State Representative,3,D,Thomas,True,2426
Dalton,Coos,State Representative,4,D,Merner,False,204
Kilkenny,Coos,State Representative,4,D,Merner,False,0
Lancaster,Coos,State Representative,4,D,Merner,False,617
Dalton,Coos,State Representative,4,R,Richardson,True,251
Kilkenny,Coos,State Representative,4,R,Richardson,True,0
Lancaster,Coos,State Representative,4,R,Richardson,True,916
Dalton,Coos,State Representative,4,,Scatter,False,3
Kilkenny,Coos,State Representative,4,,Scatter,False,0
Lancaster,Coos,State Representative,4,,Scatter,False,2
Carroll,Coos,State Representative,5,D,Hammon,True,257
Jefferson,Coos,State Representative,5,D,Hammon,True,272
Randolph,Coos,State Representative,5,D,Hammon,True,153
Whitefield,Coos,State Representative,5,D,Hammon,True,553
Carroll,Coos,State Representative,5,,Scatter,False,0
Jefferson,Coos,State Representative,5,,Scatter,False,1
Randolph,Coos,State Representative,5,,Scatter,False,0
Whitefield,Coos,State Representative,5,,Scatter,False,0
Carroll,Coos,State Representative,5,R,"Tholl, Jr.",False,226
Jefferson,Coos,State Representative,5,R,"Tholl, Jr.",False,307
Randolph,Coos,State Representative,5,R,"Tholl, Jr.",False,76
Whitefield,Coos,State Representative,5,R,"Tholl, Jr.",False,545
Bean's Grant,Coos,State Representative,6,D,Hatch,True,0
Bean's Purchase,Coos,State Representative,6,D,Hatch,True,0
Chandler's Purchase,Coos,State Representative,6,D,Hatch,True,0
Crawford's Purchase,Coos,State Representative,6,D,Hatch,True,0
Cutt's Grant,Coos,State Representative,6,D,Hatch,True,0
Gorham,Coos,State Representative,6,D,Hatch,True,1060
Green's Grant,Coos,State Representative,6,D,Hatch,True,1
