town,county,office,district,party,candidate,winner,votes
Colebrook,Coos,State Senate,1,,Scatter,False,0
Columbia,Coos,State Senate,1,,Scatter,False,0
Crawford's Purchase,Coos,State Senate,1,,Scatter,False,0
Cutt's Grant,Coos,State Senate,1,,Scatter,False,0
Dalton,Coos,State Senate,1,,Scatter,False,0
Dix's Grant,Coos,State Senate,1,,Scatter,False,0
Dixville,Coos,State Senate,1,,Scatter,False,0
Dummer,Coos,State Senate,1,,Scatter,False,0
Easton,Grafton,State Senate,1,,Scatter,False,0
Errol,Coos,State Senate,1,,Scatter,False,0
Erving's Location,Coos,State Senate,1,,Scatter,False,0
Franconia,Grafton,State Senate,1,,Scatter,False,0
Gorham,Coos,State Senate,1,,Scatter,False,0
Green's Grant,Coos,State Senate,1,,Scatter,False,0
Hadley's Purchase,Coos,State Senate,1,,Scatter,False,0
Jefferson,Coos,State Senate,1,,Scatter,False,0
Kilkenny,Coos,State Senate,1,,Scatter,False,0
Lancaster,Coos,State Senate,1,,Scatter,False,1
Landaff,Grafton,State Senate,1,,Scatter,False,0
Lincoln,Grafton,State Senate,1,,Scatter,False,0
Lisbon,Grafton,State Senate,1,,Scatter,False,0
Littleton,Grafton,State Senate,1,,Scatter,False,1
Livermore,Grafton,State Senate,1,,Scatter,False,0
Low & Burbank's Grant,Coos,State Senate,1,,Scatter,False,0
Lyman,Grafton,State Senate,1,,Scatter,False,0
Martin's Location,Coos,State Senate,1,,Scatter,False,0
Milan,Coos,State Senate,1,,Scatter,False,0
Millsfield,Coos,State Senate,1,,Scatter,False,0
Monroe,Grafton,State Senate,1,,Scatter,False,0
Northumberland,Coos,State Senate,1,,Scatter,False,0
Odell,Coos,State Senate,1,,Scatter,False,0
Pinkham's Grant,Coos,State Senate,1,,Scatter,False,0
Pittsburg,Coos,State Senate,1,,Scatter,False,0
Randolph,Coos,State Senate,1,,Scatter,False,0
Sargent's Purchase,Coos,State Senate,1,,Scatter,False,0
Second College Grant,Coos,State Senate,1,,Scatter,False,0
Shelburne,Coos,State Senate,1,,Scatter,False,0
Stark,Coos,State Senate,1,,Scatter,False,0
Stewartstown,Coos,State Senate,1,,Scatter,False,0
Stratford,Coos,State Senate,1,,Scatter,False,0
Success,Coos,State Senate,1,,Scatter,False,0
Sugar Hill,Grafton,State Senate,1,,Scatter,False,0
Thompson & Meserve's Pur.,Coos,State Senate,1,,Scatter,False,0
Thornton,Grafton,State Senate,1,,Scatter,False,0
Wentworth's Location,Coos,State Senate,1,,Scatter,False,0
Whitefield,Coos,State Senate,1,,Scatter,False,1
Woodstock,Grafton,State Senate,1,,Scatter,False,0
Alexandria,Grafton,State Senate,2,REP,Jeanie Forrester,True,476
Ashland,Grafton,State Senate,2,REP,Jeanie Forrester,True,562
Bridgewater,Grafton,State Senate,2,REP,Jeanie Forrester,True,353
Bristol,Grafton,State Senate,2,REP,Jeanie Forrester,True,882
Campton,Grafton,State Senate,2,REP,Jeanie Forrester,True,871
Center Harbor,Belknap,State Senate,2,REP,Jeanie Forrester,True,442
Danbury,Merrimack,State Senate,2,REP,Jeanie Forrester,True,317
Dorchester,Grafton,State Senate,2,REP,Jeanie Forrester,True,123
Ellsworth,Grafton,State Senate,2,REP,Jeanie Forrester,True,30
Grafton,Grafton,State Senate,2,REP,Jeanie Forrester,True,346
Groton,Grafton,State Senate,2,REP,Jeanie Forrester,True,169
Haverhill,Grafton,State Senate,2,REP,Jeanie Forrester,True,1233
Hebron,Grafton,State Senate,2,REP,Jeanie Forrester,True,232
Hill,Merrimack,State Senate,2,REP,Jeanie Forrester,True,292
Holderness,Grafton,State Senate,2,REP,Jeanie Forrester,True,596
Meredith,Belknap,State Senate,2,REP,Jeanie Forrester,True,2342
New Hampton,Belknap,State Senate,2,REP,Jeanie Forrester,True,671
Orange,Grafton,State Senate,2,REP,Jeanie Forrester,True,83
Orford,Grafton,State Senate,2,REP,Jeanie Forrester,True,293
Piermont,Grafton,State Senate,2,REP,Jeanie Forrester,True,205
Plymouth,Grafton,State Senate,2,REP,Jeanie Forrester,True,1192
Rumney,Grafton,State Senate,2,REP,Jeanie Forrester,True,467
Sanbornton,Belknap,State Senate,2,REP,Jeanie Forrester,True,921
Tilton,Belknap,State Senate,2,REP,Jeanie Forrester,True,898
Warren,Grafton,State Senate,2,REP,Jeanie Forrester,True,264
Wentworth,Grafton,State Senate,2,REP,Jeanie Forrester,True,309
Wilmot,Merrimack,State Senate,2,REP,Jeanie Forrester,True,374
Alexandria,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,383
Ashland,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,494
Bridgewater,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,287
Bristol,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,652
Campton,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,858
Center Harbor,Belknap,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,236
Danbury,Merrimack,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,286
Dorchester,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,72
Ellsworth,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,22
Grafton,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,282
Groton,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,115
Haverhill,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,641
Hebron,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,137
Hill,Merrimack,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,222
Holderness,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,636
Meredith,Belknap,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,1453
New Hampton,Belknap,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,555
Orange,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,87
Orford,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,383
Piermont,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,201
Plymouth,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,1949
Rumney,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,356
Sanbornton,Belknap,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,764
Tilton,Belknap,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,834
Warren,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,167
Wentworth,Grafton,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,178
Wilmot,Merrimack,State Senate,2,DEM,"Robert C. Lamb, Jr.",False,430
Alexandria,Grafton,State Senate,2,,Scatter,False,0
Ashland,Grafton,State Senate,2,,Scatter,False,2
Bridgewater,Grafton,State Senate,2,,Scatter,False,0
Bristol,Grafton,State Senate,2,,Scatter,False,1
Campton,Grafton,State Senate,2,,Scatter,False,3
Center Harbor,Belknap,State Senate,2,,Scatter,False,0
Danbury,Merrimack,State Senate,2,,Scatter,False,0
Dorchester,Grafton,State Senate,2,,Scatter,False,0
Ellsworth,Grafton,State Senate,2,,Scatter,False,0
Grafton,Grafton,State Senate,2,,Scatter,False,4
Groton,Grafton,State Senate,2,,Scatter,False,0
Haverhill,Grafton,State Senate,2,,Scatter,False,1
Hebron,Grafton,State Senate,2,,Scatter,False,0
Hill,Merrimack,State Senate,2,,Scatter,False,2
Holderness,Grafton,State Senate,2,,Scatter,False,1
Meredith,Belknap,State Senate,2,,Scatter,False,2
New Hampton,Belknap,State Senate,2,,Scatter,False,0
Orange,Grafton,State Senate,2,,Scatter,False,0
Orford,Grafton,State Senate,2,,Scatter,False,1
Piermont,Grafton,State Senate,2,,Scatter,False,1
Plymouth,Grafton,State Senate,2,,Scatter,False,8
Rumney,Grafton,State Senate,2,,Scatter,False,0
Sanbornton,Belknap,State Senate,2,,Scatter,False,3
Tilton,Belknap,State Senate,2,,Scatter,False,3
Warren,Grafton,State Senate,2,,Scatter,False,0
Wentworth,Grafton,State Senate,2,,Scatter,False,1
Wilmot,Merrimack,State Senate,2,,Scatter,False,0
Brookline,Hillsborough,State Senate,12,REP,Jim Luther,False,1405
Greenville,Hillsborough,State Senate,12,REP,Jim Luther,False,403
Hollis,Hillsborough,State Senate,12,REP,Jim Luther,False,2357
Mason,Hillsborough,State Senate,12,REP,Jim Luther,False,453
Nashua,Hillsborough,State Senate,12,REP,Jim Luther,False,6249
New Ipswich,Hillsborough,State Senate,12,REP,Jim Luther,False,1598
Rindge,Cheshire,State Senate,12,REP,Jim Luther,False,1636
Brookline,Hillsborough,State Senate,12,DEM,Peggy Gilmour,True,1362
Greenville,Hillsborough,State Senate,12,DEM,Peggy Gilmour,True,477
Hollis,Hillsborough,State Senate,12,DEM,Peggy Gilmour,True,2531
Mason,Hillsborough,State Senate,12,DEM,Peggy Gilmour,True,344
Nashua,Hillsborough,State Senate,12,DEM,Peggy Gilmour,True,8394
New Ipswich,Hillsborough,State Senate,12,DEM,Peggy Gilmour,True,812
Rindge,Cheshire,State Senate,12,DEM,Peggy Gilmour,True,1325
Brookline,Hillsborough,State Senate,12,,Scatter,False,2
Greenville,Hillsborough,State Senate,12,,Scatter,False,0
Hollis,Hillsborough,State Senate,12,,Scatter,False,13
Mason,Hillsborough,State Senate,12,,Scatter,False,0
Nashua,Hillsborough,State Senate,12,,Scatter,False,7
New Ipswich,Hillsborough,State Senate,12,,Scatter,False,1
Rindge,Cheshire,State Senate,12,,Scatter,False,4
Nashua,Hillsborough,State Senate,13,DEM,Bette R. Lasky,True,15314
Nashua,Hillsborough,State Senate,13,REP,Jospeh F. Krasucki,False,8224
Nashua,Hillsborough,State Senate,13,,Scatter,False,29
Auburn,Rockingham,State Senate,14,DEM,Katherine Messner,False,1081
Hudson,Hillsborough,State Senate,14,DEM,Katherine Messner,False,4689
Londonderry,Rockingham,State Senate,14,DEM,Katherine Messner,False,4696
Auburn,Rockingham,State Senate,14,LIB,Richard B. Kahn,False,137
Hudson,Hillsborough,State Senate,14,LIB,Richard B. Kahn,False,776
Londonderry,Rockingham,State Senate,14,LIB,Richard B. Kahn,False,553
Auburn,Rockingham,State Senate,14,,Scatter,False,0
Hudson,Hillsborough,State Senate,14,,Scatter,False,9
Londonderry,Rockingham,State Senate,14,,Scatter,False,12
Auburn,Rockingham,State Senate,14,REP,Sharon M. Carson,True,1709
Hudson,Hillsborough,State Senate,14,REP,Sharon M. Carson,True,5451
Londonderry,Rockingham,State Senate,14,REP,Sharon M. Carson,True,6541
Concord,Merrimack,State Senate,15,REP,Lydia Dube Harman,False,5747
Henniker,Merrimack,State Senate,15,REP,Lydia Dube Harman,False,882
Hopkinton,Merrimack,State Senate,15,REP,Lydia Dube Harman,False,1152
Warner,Merrimack,State Senate,15,REP,Lydia Dube Harman,False,601
Concord,Merrimack,State Senate,15,,Scatter,False,19
Henniker,Merrimack,State Senate,15,,Scatter,False,2
Hopkinton,Merrimack,State Senate,15,,Scatter,False,1
Warner,Merrimack,State Senate,15,,Scatter,False,2
Concord,Merrimack,State Senate,15,DEM,Sylvia B. Larsen,True,14606
Henniker,Merrimack,State Senate,15,DEM,Sylvia B. Larsen,True,1433
Hopkinton,Merrimack,State Senate,15,DEM,Sylvia B. Larsen,True,2421
Warner,Merrimack,State Senate,15,DEM,Sylvia B. Larsen,True,925
Bow,Merrimack,State Senate,16,REP,David Boutin,True,2212
Candia,Rockingham,State Senate,16,REP,David Boutin,True,1355
Dunbarton,Merrimack,State Senate,16,REP,David Boutin,True,920
Hooksett,Merrimack,State Senate,16,REP,David Boutin,True,3793
Manchester,Hillsborough,State Senate,16,REP,David Boutin,True,5596
Bow,Merrimack,State Senate,16,DEM,Kathleen M. Kelley,False,2161
Candia,Rockingham,State Senate,16,DEM,Kathleen M. Kelley,False,855
Dunbarton,Merrimack,State Senate,16,DEM,Kathleen M. Kelley,False,665
Hooksett,Merrimack,State Senate,16,DEM,Kathleen M. Kelley,False,2891
Manchester,Hillsborough,State Senate,16,DEM,Kathleen M. Kelley,False,6908
Bow,Merrimack,State Senate,16,LIB,Richard Tomasso,False,114
Candia,Rockingham,State Senate,16,LIB,Richard Tomasso,False,73
Dunbarton,Merrimack,State Senate,16,LIB,Richard Tomasso,False,53
Hooksett,Merrimack,State Senate,16,LIB,Richard Tomasso,False,212
Manchester,Hillsborough,State Senate,16,LIB,Richard Tomasso,False,469
Bow,Merrimack,State Senate,16,,Scatter,False,1
Candia,Rockingham,State Senate,16,,Scatter,False,0
Dunbarton,Merrimack,State Senate,16,,Scatter,False,1
Hooksett,Merrimack,State Senate,16,,Scatter,False,17
Manchester,Hillsborough,State Senate,16,,Scatter,False,12
Allenstown,Merrimack,State Senate,17,REP,John Reagan,True,1014
Chichester,Merrimack,State Senate,17,REP,John Reagan,True,723
Deerfield,Rockingham,State Senate,17,REP,John Reagan,True,1400
Epsom,Merrimack,State Senate,17,REP,John Reagan,True,1241
Loudon,Merrimack,State Senate,17,REP,John Reagan,True,1477
Northwood,Rockingham,State Senate,17,REP,John Reagan,True,1177
Nottingham,Rockingham,State Senate,17,REP,John Reagan,True,1369
Pembroke,Merrimack,State Senate,17,REP,John Reagan,True,1667
Pittsfield,Merrimack,State Senate,17,REP,John Reagan,True,926
Raymond,Rockingham,State Senate,17,REP,John Reagan,True,2575
Strafford,Strafford,State Senate,17,REP,John Reagan,True,1103
Allenstown,Merrimack,State Senate,17,DEM,Nancy R.B. Fraher,False,992
Chichester,Merrimack,State Senate,17,DEM,Nancy R.B. Fraher,False,686
Deerfield,Rockingham,State Senate,17,DEM,Nancy R.B. Fraher,False,1044
Epsom,Merrimack,State Senate,17,DEM,Nancy R.B. Fraher,False,1113
Loudon,Merrimack,State Senate,17,DEM,Nancy R.B. Fraher,False,1213
Northwood,Rockingham,State Senate,17,DEM,Nancy R.B. Fraher,False,1079
Nottingham,Rockingham,State Senate,17,DEM,Nancy R.B. Fraher,False,1211
Pembroke,Merrimack,State Senate,17,DEM,Nancy R.B. Fraher,False,1884
Pittsfield,Merrimack,State Senate,17,DEM,Nancy R.B. Fraher,False,864
Raymond,Rockingham,State Senate,17,DEM,Nancy R.B. Fraher,False,1938
Strafford,Strafford,State Senate,17,DEM,Nancy R.B. Fraher,False,1114
Allenstown,Merrimack,State Senate,17,,Scatter,False,0
Chichester,Merrimack,State Senate,17,,Scatter,False,2
Deerfield,Rockingham,State Senate,17,,Scatter,False,11
Epsom,Merrimack,State Senate,17,,Scatter,False,0
Loudon,Merrimack,State Senate,17,,Scatter,False,3
Northwood,Rockingham,State Senate,17,,Scatter,False,0
Nottingham,Rockingham,State Senate,17,,Scatter,False,8
Pembroke,Merrimack,State Senate,17,,Scatter,False,0
Pittsfield,Merrimack,State Senate,17,,Scatter,False,0
Raymond,Rockingham,State Senate,17,,Scatter,False,5
Strafford,Strafford,State Senate,17,,Scatter,False,3
Litchfield,Hillsborough,State Senate,18,IND,Arthur J. Beaudry,False,593
Manchester,Hillsborough,State Senate,18,IND,Arthur J. Beaudry,False,2785
Litchfield,Hillsborough,State Senate,18,DEM,Donna M. Soucy,True,1762
Manchester,Hillsborough,State Senate,18,DEM,Donna M. Soucy,True,10377
Litchfield,Hillsborough,State Senate,18,REP,J. Gail Barry,False,1911
Manchester,Hillsborough,State Senate,18,REP,J. Gail Barry,False,6113
Litchfield,Hillsborough,State Senate,18,,Scatter,False,0
Manchester,Hillsborough,State Senate,18,,Scatter,False,27
Derry,Rockingham,State Senate,19,REP,Jim Rausch,True,8056
Hampstead,Rockingham,State Senate,19,REP,Jim Rausch,True,3016
Windham,Rockingham,State Senate,19,REP,Jim Rausch,True,4855
Derry,Rockingham,State Senate,19,DEM,R. Christopher Reisdorf,False,6416
Hampstead,Rockingham,State Senate,19,DEM,R. Christopher Reisdorf,False,1663
Windham,Rockingham,State Senate,19,DEM,R. Christopher Reisdorf,False,2394
Derry,Rockingham,State Senate,19,,Scatter,False,3
Hampstead,Rockingham,State Senate,19,,Scatter,False,6
Windham,Rockingham,State Senate,19,,Scatter,False,4
Goffstown,Hillsborough,State Senate,20,DEM,Lou D'Allesandro,True,4947
Manchester,Hillsborough,State Senate,20,DEM,Lou D'Allesandro,True,8317
Goffstown,Hillsborough,State Senate,20,REP,Phil Greazzo,False,3555
Manchester,Hillsborough,State Senate,20,REP,Phil Greazzo,False,4199
Goffstown,Hillsborough,State Senate,20,,Scatter,False,6
Manchester,Hillsborough,State Senate,20,,Scatter,False,16
Durham,Strafford,State Senate,21,DEM,Martha Fuller Clark,True,4514
Lee,Strafford,State Senate,21,DEM,Martha Fuller Clark,True,1690
Madbury,Strafford,State Senate,21,DEM,Martha Fuller Clark,True,711
Newfields,Rockingham,State Senate,21,DEM,Martha Fuller Clark,True,531
Newington,Rockingham,State Senate,21,DEM,Martha Fuller Clark,True,252
Newmarket,Rockingham,State Senate,21,DEM,Martha Fuller Clark,True,3193
Portsmouth,Rockingham,State Senate,21,DEM,Martha Fuller Clark,True,8849
Durham,Strafford,State Senate,21,REP,Peter Macdonald,False,1819
Lee,Strafford,State Senate,21,REP,Peter Macdonald,False,696
Madbury,Strafford,State Senate,21,REP,Peter Macdonald,False,399
Newfields,Rockingham,State Senate,21,REP,Peter Macdonald,False,471
Newington,Rockingham,State Senate,21,REP,Peter Macdonald,False,265
Newmarket,Rockingham,State Senate,21,REP,Peter Macdonald,False,1570
Portsmouth,Rockingham,State Senate,21,REP,Peter Macdonald,False,3454
Durham,Strafford,State Senate,21,,Scatter,False,15
Lee,Strafford,State Senate,21,,Scatter,False,5
Madbury,Strafford,State Senate,21,,Scatter,False,0
Newfields,Rockingham,State Senate,21,,Scatter,False,0
Newington,Rockingham,State Senate,21,,Scatter,False,3
Newmarket,Rockingham,State Senate,21,,Scatter,False,4
Portsmouth,Rockingham,State Senate,21,,Scatter,False,15
Atkinson,Rockingham,State Senate,22,REP,Chuck Morse,True,2675
Pelham,Hillsborough,State Senate,22,REP,Chuck Morse,True,3818
Plaistow,Rockingham,State Senate,22,REP,Chuck Morse,True,2225
Salem,Rockingham,State Senate,22,REP,Chuck Morse,True,8254
Atkinson,Rockingham,State Senate,22,,Scatter,False,1
Pelham,Hillsborough,State Senate,22,,Scatter,False,7
Plaistow,Rockingham,State Senate,22,,Scatter,False,1
Salem,Rockingham,State Senate,22,,Scatter,False,8
Atkinson,Rockingham,State Senate,22,DEM,Victoria Czaia,False,1297
Pelham,Hillsborough,State Senate,22,DEM,Victoria Czaia,False,2468
Plaistow,Rockingham,State Senate,22,DEM,Victoria Czaia,False,1366
Salem,Rockingham,State Senate,22,DEM,Victoria Czaia,False,4650
Brentwood,Rockingham,State Senate,23,DEM,Carol E. Croteau,False,984
Chester,Rockingham,State Senate,23,DEM,Carol E. Croteau,False,1016
Danville,Rockingham,State Senate,23,DEM,Carol E. Croteau,False,899
East Kingston,Rockingham,State Senate,23,DEM,Carol E. Croteau,False,524
Epping,Rockingham,State Senate,23,DEM,Carol E. Croteau,False,1646
Exeter,Rockingham,State Senate,23,DEM,Carol E. Croteau,False,4520
Fremont,Rockingham,State Senate,23,DEM,Carol E. Croteau,False,945
Kingston,Rockingham,State Senate,23,DEM,Carol E. Croteau,False,1298
