town,county,office,district,party,candidate,winner,votes
Acworth,Sullivan,Governor,,R,Ovide Lamontagne,False,191
Albany,Carroll,Governor,,R,Ovide Lamontagne,False,145
Alexandria,Grafton,Governor,,R,Ovide Lamontagne,False,378
Allenstown,Merrimack,Governor,,R,Ovide Lamontagne,False,889
Alstead,Cheshire,Governor,,R,Ovide Lamontagne,False,310
Alton,Belknap,Governor,,R,Ovide Lamontagne,False,1966
Amherst,Hillsborough,Governor,,R,Ovide Lamontagne,False,3532
Andover,Merrimack,Governor,,R,Ovide Lamontagne,False,510
Antrim,Hillsborough,Governor,,R,Ovide Lamontagne,False,601
Ashland,Grafton,Governor,,R,Ovide Lamontagne,False,462
At. & Gil. Academy Grant,Coos,Governor,,R,Ovide Lamontagne,False,0
Atkinson,Rockingham,Governor,,R,Ovide Lamontagne,False,2343
Auburn,Rockingham,Governor,,R,Ovide Lamontagne,False,1801
Barnstead,Belknap,Governor,,R,Ovide Lamontagne,False,1120
Barrington,Strafford,Governor,,R,Ovide Lamontagne,False,2048
Bartlett,Carroll,Governor,,R,Ovide Lamontagne,False,721
Bath,Grafton,Governor,,R,Ovide Lamontagne,False,277
Bean's Grant,Coos,Governor,,R,Ovide Lamontagne,False,0
Bean's Purchase,Coos,Governor,,R,Ovide Lamontagne,False,0
Bedford,Hillsborough,Governor,,R,Ovide Lamontagne,False,7471
Belmont,Belknap,Governor,,R,Ovide Lamontagne,False,1606
Bennington,Hillsborough,Governor,,R,Ovide Lamontagne,False,350
Benton,Grafton,Governor,,R,Ovide Lamontagne,False,81
Berlin,Coos,Governor,,R,Ovide Lamontagne,False,1248
Bethlehem,Grafton,Governor,,R,Ovide Lamontagne,False,501
Boscawen,Merrimack,Governor,,R,Ovide Lamontagne,False,694
Bow,Merrimack,Governor,,R,Ovide Lamontagne,False,2135
Bradford,Merrimack,Governor,,R,Ovide Lamontagne,False,416
Brentwood,Rockingham,Governor,,R,Ovide Lamontagne,False,1183
Bridgewater,Grafton,Governor,,R,Ovide Lamontagne,False,405
Bristol,Grafton,Governor,,R,Ovide Lamontagne,False,736
Brookfield,Carroll,Governor,,R,Ovide Lamontagne,False,232
Brookline,Hillsborough,Governor,,R,Ovide Lamontagne,False,1424
Cambridge,Coos,Governor,,R,Ovide Lamontagne,False,2
Campton,Grafton,Governor,,R,Ovide Lamontagne,False,702
Canaan,Grafton,Governor,,R,Ovide Lamontagne,False,599
Candia,Rockingham,Governor,,R,Ovide Lamontagne,False,1385
Canterbury,Merrimack,Governor,,R,Ovide Lamontagne,False,516
Carroll,Coos,Governor,,R,Ovide Lamontagne,False,200
Center Harbor,Belknap,Governor,,R,Ovide Lamontagne,False,342
Chandler's Purchase,Coos,Governor,,R,Ovide Lamontagne,False,0
Charlestown,Sullivan,Governor,,R,Ovide Lamontagne,False,732
Chatham,Carroll,Governor,,R,Ovide Lamontagne,False,102
Chester,Rockingham,Governor,,R,Ovide Lamontagne,False,1461
Chesterfield,Cheshire,Governor,,R,Ovide Lamontagne,False,793
Chichester,Merrimack,Governor,,R,Ovide Lamontagne,False,722
Claremont,Sullivan,Governor,,R,Ovide Lamontagne,False,1913
Clarksville,Coos,Governor,,R,Ovide Lamontagne,False,73
Colebrook,Coos,Governor,,R,Ovide Lamontagne,False,477
Columbia,Coos,Governor,,R,Ovide Lamontagne,False,176
Concord,Merrimack,Governor,,R,Ovide Lamontagne,False,6497
Conway,Carroll,Governor,,R,Ovide Lamontagne,False,1893
Cornish,Sullivan,Governor,,R,Ovide Lamontagne,False,330
Crawford's Purchase,Coos,Governor,,R,Ovide Lamontagne,False,0
Croydon,Sullivan,Governor,,R,Ovide Lamontagne,False,210
Cutt's Grant,Coos,Governor,,R,Ovide Lamontagne,False,0
Dalton,Coos,Governor,,R,Ovide Lamontagne,False,232
Danbury,Merrimack,Governor,,R,Ovide Lamontagne,False,261
Danville,Rockingham,Governor,,R,Ovide Lamontagne,False,1152
Deerfield,Rockingham,Governor,,R,Ovide Lamontagne,False,1391
Deering,Hillsborough,Governor,,R,Ovide Lamontagne,False,469
Derry,Rockingham,Governor,,R,Ovide Lamontagne,False,7161
Dix's Grant,Coos,Governor,,R,Ovide Lamontagne,False,0
Dixville,Coos,Governor,,R,Ovide Lamontagne,False,7
Dorchester,Grafton,Governor,,R,Ovide Lamontagne,False,90
Dover,Strafford,Governor,,R,Ovide Lamontagne,False,5343
Dublin,Cheshire,Governor,,R,Ovide Lamontagne,False,352
Dummer,Coos,Governor,,R,Ovide Lamontagne,False,75
Dunbarton,Merrimack,Governor,,R,Ovide Lamontagne,False,899
Durham,Strafford,Governor,,R,Ovide Lamontagne,False,1862
East Kingston,Rockingham,Governor,,R,Ovide Lamontagne,False,800
Easton,Grafton,Governor,,R,Ovide Lamontagne,False,64
Eaton,Carroll,Governor,,R,Ovide Lamontagne,False,122
Effingham,Carroll,Governor,,R,Ovide Lamontagne,False,340
Ellsworth,Grafton,Governor,,R,Ovide Lamontagne,False,18
Enfield,Grafton,Governor,,R,Ovide Lamontagne,False,732
Epping,Rockingham,Governor,,R,Ovide Lamontagne,False,1480
Epsom,Merrimack,Governor,,R,Ovide Lamontagne,False,1211
Errol,Coos,Governor,,R,Ovide Lamontagne,False,94
Erving's Location,Coos,Governor,,R,Ovide Lamontagne,False,0
Exeter,Rockingham,Governor,,R,Ovide Lamontagne,False,3123
Farmington,Strafford,Governor,,R,Ovide Lamontagne,False,1293
Fitzwilliam,Cheshire,Governor,,R,Ovide Lamontagne,False,496
Francestown,Hillsborough,Governor,,R,Ovide Lamontagne,False,437
Franconia,Grafton,Governor,,R,Ovide Lamontagne,False,245
Franklin,Merrimack,Governor,,R,Ovide Lamontagne,False,1360
Freedom,Carroll,Governor,,R,Ovide Lamontagne,False,429
Fremont,Rockingham,Governor,,R,Ovide Lamontagne,False,1183
Gilford,Belknap,Governor,,R,Ovide Lamontagne,False,2162
Gilmanton,Belknap,Governor,,R,Ovide Lamontagne,False,1037
Gilsum,Cheshire,Governor,,R,Ovide Lamontagne,False,166
Goffstown,Hillsborough,Governor,,R,Ovide Lamontagne,False,4536
Gorham,Coos,Governor,,R,Ovide Lamontagne,False,474
Goshen,Sullivan,Governor,,R,Ovide Lamontagne,False,183
Grafton,Grafton,Governor,,R,Ovide Lamontagne,False,265
Grantham,Sullivan,Governor,,R,Ovide Lamontagne,False,725
Green's Grant,Coos,Governor,,R,Ovide Lamontagne,False,0
Greenfield,Hillsborough,Governor,,R,Ovide Lamontagne,False,384
Greenland,Rockingham,Governor,,R,Ovide Lamontagne,False,1016
Greenville,Hillsborough,Governor,,R,Ovide Lamontagne,False,381
Groton,Grafton,Governor,,R,Ovide Lamontagne,False,143
Hadley's Purchase,Coos,Governor,,R,Ovide Lamontagne,False,0
Hale's Location,Carroll,Governor,,R,Ovide Lamontagne,False,95
Hampstead,Rockingham,Governor,,R,Ovide Lamontagne,False,2819
Hampton,Rockingham,Governor,,R,Ovide Lamontagne,False,4160
Hampton Falls,Rockingham,Governor,,R,Ovide Lamontagne,False,850
Hancock,Hillsborough,Governor,,R,Ovide Lamontagne,False,422
Hanover,Grafton,Governor,,R,Ovide Lamontagne,False,1379
Harrisville,Cheshire,Governor,,R,Ovide Lamontagne,False,183
Hart's Location,Carroll,Governor,,R,Ovide Lamontagne,False,9
Haverhill,Grafton,Governor,,R,Ovide Lamontagne,False,909
Hebron,Grafton,Governor,,R,Ovide Lamontagne,False,218
Henniker,Merrimack,Governor,,R,Ovide Lamontagne,False,893
Hill,Merrimack,Governor,,R,Ovide Lamontagne,False,242
Hillsborough,Hillsborough,Governor,,R,Ovide Lamontagne,False,1119
Hinsdale,Cheshire,Governor,,R,Ovide Lamontagne,False,432
