county,town,office,party,candidate,votes
Carroll,Albany,President,R,Trump and Pence,182
Carroll,Albany,President,D,Clinton and Kaine,195
Carroll,Albany,President,G,Stein and Baraka,7
Carroll,Albany,President,A.D.,De La Fuente and Steinberg,2
Carroll,Albany,President,LIB,Johnson and weld,13
Carroll,Albany,President,,Scatter,
Carroll,Bartlett,President,R,Trump and Pence,730
Carroll,Bartlett,President,D,Clinton and Kaine,1094
Carroll,Bartlett,President,G,Stein and Baraka,21
Carroll,Bartlett,President,A.D.,De La Fuente and Steinberg,0
Carroll,Bartlett,President,LIB,Johnson and weld,84
Carroll,Bartlett,President,,Scatter,
Carroll,Brookfield,President,R,Trump and Pence,262
Carroll,Brookfield,President,D,Clinton and Kaine,156
Carroll,Brookfield,President,G,Stein and Baraka,3
Carroll,Brookfield,President,A.D.,De La Fuente and Steinberg,1
Carroll,Brookfield,President,LIB,Johnson and weld,25
Carroll,Brookfield,President,,Scatter,
Carroll,Chatham,President,R,Trump and Pence,103
Carroll,Chatham,President,D,Clinton and Kaine,79
Carroll,Chatham,President,G,Stein and Baraka,3
Carroll,Chatham,President,A.D.,De La Fuente and Steinberg,0
Carroll,Chatham,President,LIB,Johnson and weld,19
Carroll,Chatham,President,,Scatter,
Carroll,Conway,President,R,Trump and Pence,2204
Carroll,Conway,President,D,Clinton and Kaine,2717
Carroll,Conway,President,G,Stein and Baraka,57
Carroll,Conway,President,A.D.,De La Fuente and Steinberg,2
Carroll,Conway,President,LIB,Johnson and weld,209
Carroll,Conway,President,,Scatter,
Carroll,Eaton,President,R,Trump and Pence,109
Carroll,Eaton,President,D,Clinton and Kaine,157
Carroll,Eaton,President,G,Stein and Baraka,2
Carroll,Eaton,President,A.D.,De La Fuente and Steinberg,0
Carroll,Eaton,President,LIB,Johnson and weld,14
Carroll,Eaton,President,,Scatter,
Carroll,Effingham,President,R,Trump and Pence,481
Carroll,Effingham,President,D,Clinton and Kaine,317
Carroll,Effingham,President,G,Stein and Baraka,6
Carroll,Effingham,President,A.D.,De La Fuente and Steinberg,0
Carroll,Effingham,President,LIB,Johnson and weld,38
Carroll,Effingham,President,,Scatter,
Carroll,Freedom,President,R,Trump and Pence,476
Carroll,Freedom,President,D,Clinton and Kaine,425
Carroll,Freedom,President,G,Stein and Baraka,14
Carroll,Freedom,President,A.D.,De La Fuente and Steinberg,1
Carroll,Freedom,President,LIB,Johnson and weld,36
Carroll,Freedom,President,,Scatter,
Carroll,Hale's Location,President,R,Trump and Pence,97
Carroll,Hale's Location,President,D,Clinton and Kaine,26
Carroll,Hale's Location,President,G,Stein and Baraka,0
Carroll,Hale's Location,President,A.D.,De La Fuente and Steinberg,0
Carroll,Hale's Location,President,LIB,Johnson and weld,0
Carroll,Hale's Location,President,,Scatter,
Carroll,Hart's Location,President,R,Trump and Pence,14
Carroll,Hart's Location,President,D,Clinton and Kaine,17
Carroll,Hart's Location,President,G,Stein and Baraka,0
Carroll,Hart's Location,President,A.D.,De La Fuente and Steinberg,0
Carroll,Hart's Location,President,LIB,Johnson and weld,3
Carroll,Hart's Location,President,,Scatter,
Carroll,Jackson,President,R,Trump and Pence,212
Carroll,Jackson,President,D,Clinton and Kaine,430
Carroll,Jackson,President,G,Stein and Baraka,5
Carroll,Jackson,President,A.D.,De La Fuente and Steinberg,0
Carroll,Jackson,President,LIB,Johnson and weld,28
Carroll,Jackson,President,,Scatter,
Carroll,Madison,President,R,Trump and Pence,654
Carroll,Madison,President,D,Clinton and Kaine,721
Carroll,Madison,President,G,Stein and Baraka,13
Carroll,Madison,President,A.D.,De La Fuente and Steinberg,5
Carroll,Madison,President,LIB,Johnson and weld,70
Carroll,Madison,President,,Scatter,
Carroll,Moultonborough,President,R,Trump and Pence,1888
Carroll,Moultonborough,President,D,Clinton and Kaine,1148
Carroll,Moultonborough,President,G,Stein and Baraka,16
Carroll,Moultonborough,President,A.D.,De La Fuente and Steinberg,0
Carroll,Moultonborough,President,LIB,Johnson and weld,126
Carroll,Moultonborough,President,,Scatter,
Carroll,Ossipee,President,R,Trump and Pence,1294
Carroll,Ossipee,President,D,Clinton and Kaine,770
Carroll,Ossipee,President,G,Stein and Baraka,18
Carroll,Ossipee,President,A.D.,De La Fuente and Steinberg,2
Carroll,Ossipee,President,LIB,Johnson and weld,94
Carroll,Ossipee,President,,Scatter,
Carroll,Sandwich,President,R,Trump and Pence,360
Carroll,Sandwich,President,D,Clinton and Kaine,578
Carroll,Sandwich,President,G,Stein and Baraka,13
Carroll,Sandwich,President,A.D.,De La Fuente and Steinberg,1
Carroll,Sandwich,President,LIB,Johnson and weld,34
Carroll,Sandwich,President,,Scatter,
Carroll,Tamworth,President,R,Trump and Pence,761
Carroll,Tamworth,President,D,Clinton and Kaine,739
Carroll,Tamworth,President,G,Stein and Baraka,24
Carroll,Tamworth,President,A.D.,De La Fuente and Steinberg,2
Carroll,Tamworth,President,LIB,Johnson and weld,69
Carroll,Tamworth,President,,Scatter,
Carroll,Tuftonboro,President,R,Trump and Pence,891
Carroll,Tuftonboro,President,D,Clinton and Kaine,674
Carroll,Tuftonboro,President,G,Stein and Baraka,17
Carroll,Tuftonboro,President,A.D.,De La Fuente and Steinberg,0
Carroll,Tuftonboro,President,LIB,Johnson and weld,55
Carroll,Tuftonboro,President,,Scatter,
Carroll,Wakefield,President,R,Trump and Pence,1741
Carroll,Wakefield,President,D,Clinton and Kaine,873
Carroll,Wakefield,President,G,Stein and Baraka,20
Carroll,Wakefield,President,A.D.,De La Fuente and Steinberg,0
Carroll,Wakefield,President,LIB,Johnson and weld,111
Carroll,Wakefield,President,,Scatter,
Carroll,Wolfeboro,President,R,Trump and Pence,2176
Carroll,Wolfeboro,President,D,Clinton and Kaine,1871
Carroll,Wolfeboro,President,G,Stein and Baraka,36
Carroll,Wolfeboro,President,A.D.,De La Fuente and Steinberg,4
Carroll,Wolfeboro,President,LIB,Johnson and weld,157
Carroll,Wolfeboro,President,,Scatter,
Carroll,TOTALS,President,R,Trump and Pence,14635
Carroll,TOTALS,President,D,Clinton and Kaine,12987
Carroll,TOTALS,President,G,Stein and Baraka,275
Carroll,TOTALS,President,A.D.,De La Fuente and Steinberg,20
Carroll,TOTALS,President,LIB,Johnson and weld,1185
Carroll,TOTALS,President,,Scatter,
Cheshire,Alstead,President,R,Trump and Pence,444
Cheshire,Alstead,President,D,Clinton and Kaine,522
Cheshire,Alstead,President,G,Stein and Baraka,20
Cheshire,Alstead,President,A.D.,De La Fuente and Steinberg,1
Cheshire,Alstead,President,LIB,Johnson and weld,37
Cheshire,Alstead,President,,Scatter,
Cheshire,Chesterfield,President,R,Trump and Pence,910
