county,town,office,party,candidate,votes
Belknap,Center Harbor,State House District No. 1,D,Gulick,33.0
Belknap,Center Harbor,State House District No. 1,D,Fraser,
Belknap,Center Harbor,State House District No. 1,D,Scatter,
Belknap,New Hampton,State House District No. 1,D,Gulick,75.0
Belknap,New Hampton,State House District No. 1,D,Fraser,
Belknap,New Hampton,State House District No. 1,D,Scatter,
Belknap,Gilford,State House District No. 2,D,Piquado,138.0
Belknap,Gilford,State House District No. 2,D,DiMartino,175.0
Belknap,Gilford,State House District No. 2,D,Frost,153.0
Belknap,Gilford,State House District No. 2,D,Mucci,136.0
Belknap,Gilford,State House District No. 2,D,Vadney,
Belknap,Gilford,State House District No. 2,D,Aldrich,1.0
Belknap,Meredith,State House District No. 2,D,Piquado,95.0
Belknap,Meredith,State House District No. 2,D,DiMartino,111.0
Belknap,Meredith,State House District No. 2,D,Frost,102.0
Belknap,Meredith,State House District No. 2,D,Mucci,108.0
Belknap,Meredith,State House District No. 2,D,Vadney,1.0
Belknap,Meredith,State House District No. 2,D,Aldrich,0.0
Belknap,Gilford,State House District No. 2,D,Dumais,2.0
Belknap,Gilford,State House District No. 2,D,Hatch,
Belknap,Gilford,State House District No. 2,D,Hodsdon,
Belknap,Gilford,State House District No. 2,D,Hurt,1.0
Belknap,Gilford,State House District No. 2,D,Scatter,1.0
Belknap,Meredith,State House District No. 2,D,Dumais,
Belknap,Meredith,State House District No. 2,D,Hatch,
Belknap,Meredith,State House District No. 2,D,Hodsdon,1.0
Belknap,Meredith,State House District No. 2,D,Hurt,
Belknap,Meredith,State House District No. 2,D,Scatter,
Belknap,Laconia Wd 1,State House District No. 3,D,Huot,57.0
Belknap,Laconia Wd 1,State House District No. 3,D,Baxley,50.0
Belknap,Laconia Wd 1,State House District No. 3,D,Dawson,49.0
Belknap,Laconia Wd 1,State House District No. 3,D,Tilton,1.0
Belknap,Laconia Wd 1,State House District No. 3,D,Flanders,1.0
Belknap,Laconia Wd 1,State House District No. 3,D,Luther,1.0
Belknap,Laconia Wd 1,State House District No. 3,D,Spanos,1.0
Belknap,Laconia Wd 1,State House District No. 3,D,Miller (w-in),17.0
Belknap,Laconia Wd 1,State House District No. 3,D,Scatter,3.0
Belknap,Laconia Wd 2,State House District No. 3,D,Huot,62.0
Belknap,Laconia Wd 2,State House District No. 3,D,Baxley,46.0
Belknap,Laconia Wd 2,State House District No. 3,D,Dawson,46.0
Belknap,Laconia Wd 2,State House District No. 3,D,Tilton,
Belknap,Laconia Wd 2,State House District No. 3,D,Flanders,
Belknap,Laconia Wd 2,State House District No. 3,D,Luther,
Belknap,Laconia Wd 2,State House District No. 3,D,Spanos,
Belknap,Laconia Wd 2,State House District No. 3,D,Miller (w-in),17.0
Belknap,Laconia Wd 2,State House District No. 3,D,Scatter,3.0
Belknap,Laconia Wd 3,State House District No. 3,D,Huot,89.0
Belknap,Laconia Wd 3,State House District No. 3,D,Baxley,75.0
Belknap,Laconia Wd 3,State House District No. 3,D,Dawson,88.0
Belknap,Laconia Wd 3,State House District No. 3,D,Tilton,
Belknap,Laconia Wd 3,State House District No. 3,D,Flanders,
Belknap,Laconia Wd 3,State House District No. 3,D,Luther,
Belknap,Laconia Wd 3,State House District No. 3,D,Spanos,
Belknap,Laconia Wd 3,State House District No. 3,D,Miller (w-in),30.0
Belknap,Laconia Wd 3,State House District No. 3,D,Scatter,2.0
Belknap,Laconia Wd 4,State House District No. 3,D,Huot,50.0
Belknap,Laconia Wd 4,State House District No. 3,D,Baxley,40.0
Belknap,Laconia Wd 4,State House District No. 3,D,Dawson,38.0
Belknap,Laconia Wd 4,State House District No. 3,D,Tilton,1.0
Belknap,Laconia Wd 4,State House District No. 3,D,Flanders,
Belknap,Laconia Wd 4,State House District No. 3,D,Luther,
Belknap,Laconia Wd 4,State House District No. 3,D,Spanos,
Belknap,Laconia Wd 4,State House District No. 3,D,Miller (w-in),3.0
Belknap,Laconia Wd 4,State House District No. 3,D,Scatter,1.0
Belknap,Laconia Wd 5,State House District No. 3,D,Huot,40.0
